date,update_time,slot,previous_plan_kwh,new_plan_kwh,increase_kwh,decrease_kwh,adjustment_cost_yuan,alpha,lambda,scenario_count,primary_objective,secondary_throughput,primary_status,secondary_status,empirical_cvar_yuan,initial_soc_kwh,plan_terminal_soc_kwh,max_constraint_violation
2025-03-20,00:00,85,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,86,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,87,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,88,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,89,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,90,0.0,1251.051183333333,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,91,0.0,1260.880661111111,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,92,0.0,491.78541111111133,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,93,0.0,568.5888749999998,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,94,0.0,604.1031222222223,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,95,0.0,645.4796500000002,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,96,0.0,688.9040333333332,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,97,0.0,731.869772222222,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,98,0.0,749.6204694444441,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
2025-03-20,00:00,99,0.0,738.9104666666665,0.0,0.0,0.0,0.95,0.5,14,42332.33241634632,33368.21234683816,optimal,optimal,0.0,6000.0,1199.9999999999998,9.999348549172282e-08
