slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
34,05:40:00,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,833.3333333333334,550.3264499999999,0.0,0.0,10800.0,10050.0,1383.6597833333333,833.3333333333334,750.0,0.0,0.0,513.7528775516666,750.0
35,05:50:00,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,0.0,591.1401999999999,0.0,0.0,10800.0,10800.0,591.1401999999999,0.0,0.0,0.0,0.0,337.42282615999994,0.0
36,06:00:00,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,0.0,0.0,0.0,668.2538833333332,10057.495685185186,10800.0,0.0,0.0,0.0,742.5043148148146,0.0,0.0,742.5043148148146
37,06:10:00,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,0.0,0.0,0.0,655.4553333333333,9329.211981481481,10057.495685185186,0.0,0.0,0.0,728.2837037037037,0.0,0.0,728.2837037037037
38,06:20:00,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,0.0,0.0,0.0,616.5040333333334,8644.2075,9329.211981481481,0.0,0.0,0.0,685.0044814814815,1.1368683772161603e-13,0.0,685.0044814814815
39,06:30:00,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,0.0,0.0,0.0,591.4544833333334,7987.035851851852,8644.2075,0.0,0.0,0.0,657.1716481481483,0.0,0.0,657.1716481481483
40,06:40:00,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,0.0,0.0,0.0,557.4868666666666,7367.606000000001,7987.035851851852,0.0,0.0,0.0,619.4298518518518,1.1368683772161603e-13,0.0,619.4298518518518
41,06:50:00,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,0.0,0.0,0.0,529.2397,6779.561888888889,7367.606000000001,0.0,0.0,0.0,588.0441111111111,0.0,0.0,588.0441111111111
42,07:00:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,0.0,0.0,0.0,502.4707166666667,6221.261092592593,6779.561888888889,0.0,0.0,0.0,558.3007962962963,0.0,0.0,558.3007962962963
43,07:10:00,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,0.0,0.0,0.0,455.4435666666667,5715.212685185185,6221.261092592593,0.0,0.0,0.0,506.0484074074074,0.0,0.0,506.0484074074074
44,07:20:00,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,0.0,0.0,0.0,410.0667,5259.583018518519,5715.212685185185,0.0,0.0,0.0,455.6296666666667,0.0,0.0,455.6296666666667
45,07:30:00,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,0.0,0.0,0.0,356.99678333333327,4862.919925925926,5259.583018518519,0.0,0.0,0.0,396.66309259259253,0.0,0.0,396.66309259259253
