date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,soc_real_end_kwh,soc_real_start_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,emergency_purchase_kwh,emergency_cost_slot_yuan,planned_cost_slot_yuan,total_cost_slot_yuan,source_time
2025-07-20,142,0.424,1200.0,0.0,851.9529249999998,0.0,0.0,1200.0,1200.0,851.9529249999998,783.2138833333333,0.0,0.0,0.0,361.2280401999999,361.2280401999999,23:40:00
2025-07-20,143,0.4271,1200.0,0.0,831.4963666666665,0.0,0.0,1200.0,1200.0,831.4963666666665,795.3884666666665,0.0,0.0,0.0,355.13209820333327,355.13209820333327,23:50:00
2025-07-20,144,0.4276,1200.0,0.0,817.2483333333332,0.0,0.0,1200.0,1200.0,817.2483333333332,759.5699999999999,0.0,0.0,0.0,349.45538733333325,349.45538733333325,0:00+1
2025-07-21,1,0.4248,1200.0,610.6515272222177,1009.6633061111156,0.0,0.0,1749.586374499996,1200.0,1620.3148333333334,756.5722666666667,0.0,0.0,0.0,688.3097412000001,688.3097412000001,00:10:00
2025-07-21,2,0.4245,1200.0,833.3333333333334,792.6139027777778,0.0,2.2737367544323206e-13,2499.586374499996,1749.586374499996,1625.9472361111111,756.3750333333334,0.0,0.0,0.0,690.2146017291667,690.2146017291667,00:20:00
2025-07-21,3,0.4269,1200.0,833.3333333333334,829.4141666666666,0.0,0.0,3249.586374499996,2499.586374499996,1662.7475,744.6216666666666,0.0,0.0,0.0,709.82690775,709.82690775,00:30:00
2025-07-21,4,0.4272,1200.0,833.3333333333334,836.1932916666666,0.0,0.0,3999.586374499996,3249.586374499996,1669.526625,742.0464166666667,0.0,0.0,0.0,713.2217742,713.2217742,00:40:00
2025-07-21,5,0.4271,1200.0,833.3333333333334,836.0719499999999,0.0,4.547473508864641e-13,4749.586374499996,3999.586374499996,1669.4052833333333,732.5533499999999,0.0,0.0,0.0,713.0029965116667,713.0029965116667,00:50:00
2025-07-21,6,0.4285,1200.0,833.3333333333334,833.3191666666668,0.0,0.0,5499.586374499996,4749.586374499996,1666.6525000000001,730.5899999999999,0.0,0.0,0.0,714.16059625,714.16059625,01:00:00
2025-07-21,7,0.4311,1200.0,723.3714916666669,767.6873999999999,0.0,0.0,6150.620716999996,5499.586374499996,1491.0588916666668,767.6873999999999,0.0,0.0,0.0,642.7954881975,642.7954881975,01:10:00
2025-07-21,8,0.4302,1200.0,833.3333333333334,785.6042583333334,0.0,0.0,6900.620716999996,6150.620716999996,1618.9375916666668,784.8586833333334,0.0,0.0,0.0,696.4669519350001,696.4669519350001,01:20:00
2025-07-21,9,0.4279,1200.0,829.7708333333335,748.2566666666667,0.0,0.0,7647.414466999997,6900.620716999996,1578.0275000000001,748.2566666666667,0.0,0.0,0.0,675.2379672500001,675.2379672500001,01:30:00
2025-07-21,10,0.4312,1200.0,109.43001944444438,688.9551333333334,0.0,0.0,7745.9014844999965,7647.414466999997,798.3851527777778,688.9551333333334,0.0,0.0,0.0,344.2636778777778,344.2636778777778,01:40:00
2025-07-21,11,0.4333,1200.0,108.23739999999987,699.58575,0.0,0.0,7843.315144499997,7745.9014844999965,807.8231499999998,699.58575,0.0,0.0,0.0,350.02977089499996,350.02977089499996,01:50:00
2025-07-21,12,0.4311,1200.0,831.9166666666667,767.51,0.0,0.0,8592.040144499997,7843.315144499997,1599.4266666666667,767.51,0.0,0.0,0.0,689.512836,689.512836,02:00:00
2025-07-21,13,0.4293,1200.0,825.7301916666668,788.0310166666666,0.0,0.0,9335.197316999996,8592.040144499997,1613.7612083333333,788.0310166666666,0.0,0.0,0.0,692.7876867375,692.7876867375,02:10:00
2025-07-21,14,0.4324,1200.0,25.06694166666682,768.4591499999999,0.0,0.0,9357.757564499996,9335.197316999996,793.5260916666667,768.4591499999999,0.0,0.0,0.0,343.1206820366667,343.1206820366667,02:20:00
2025-07-21,15,0.4367,1200.0,16.099166666666633,739.0799999999999,0.0,0.0,9372.246814499995,9357.757564499996,755.1791666666666,739.0799999999999,0.0,0.0,0.0,329.78674208333325,329.78674208333325,02:30:00
2025-07-21,16,0.4348,1200.0,6.3235083333332796,719.5975333333333,0.0,0.0,9377.937971999996,9372.246814499995,725.9210416666666,719.5975333333333,0.0,0.0,0.0,315.63046891666664,315.63046891666664,02:40:00
2025-07-21,17,0.4335,1200.0,35.13391666666678,712.5066833333333,0.0,0.0,9409.558496999996,9377.937971999996,747.6406000000001,712.5066833333333,0.0,0.0,0.0,324.1022001,324.1022001,02:50:00
2025-07-21,18,0.4357,1200.0,77.30749999999989,709.9466666666667,0.0,0.0,9479.135246999997,9409.558496999996,787.2541666666666,709.9466666666667,0.0,0.0,0.0,343.00664041666664,343.00664041666664,03:00:00
2025-07-21,19,0.4374,1200.0,69.26600000000008,701.9173499999999,0.0,0.0,9541.474646999997,9479.135246999997,771.18335,701.9173499999999,0.0,0.0,0.0,337.31559729,337.31559729,03:10:00
2025-07-21,20,0.4371,1200.0,74.45156666666662,694.7721666666666,0.0,0.0,9608.481056999997,9541.474646999997,769.2237333333333,694.7721666666666,0.0,0.0,0.0,336.22769384,336.22769384,03:20:00
2025-07-21,21,0.4356,1200.0,73.46416666666664,708.53,0.0,0.0,9674.598806999998,9608.481056999997,781.9941666666666,708.53,0.0,0.0,0.0,340.63665899999995,340.63665899999995,03:30:00
2025-07-21,22,0.4353,1200.0,32.523548333333224,745.4205333333333,0.0,0.0,9703.8700005,9674.598806999998,777.9440816666665,745.4216166666666,0.0010833333333333333,0.0,0.0,338.63905874949995,338.63905874949995,03:40:00
2025-07-21,23,0.436,1200.0,29.4843616666667,706.1207333333333,0.0,0.0,9730.405926,9703.8700005,735.605095,706.1207333333333,0.0,0.0,0.0,320.72382142,320.72382142,03:50:00
2025-07-21,24,0.4378,1200.0,67.88833333333343,639.4916666666666,0.0,0.0,9791.505426,9730.405926,707.38,639.4916666666666,0.0,0.0,0.0,309.690964,309.690964,04:00:00
2025-07-21,25,0.4401,1200.0,27.30543666666665,690.6580666666666,0.0,0.0,9816.080319,9791.505426,717.9635033333333,690.6730333333333,0.014966666666666666,0.0,0.0,315.975737817,315.975737817,04:10:00
2025-07-21,26,0.4389,1200.0,26.361358333333328,704.8045166666667,0.0,0.0,9839.8055415,9816.080319,731.165875,704.8045166666667,0.0,0.0,0.0,320.9087025375,320.9087025375,04:20:00
2025-07-21,27,0.4364,1200.0,61.884166666666715,669.4533333333333,0.0,0.0,9895.5012915,9839.8055415,731.3375,669.4533333333333,0.0,0.0,0.0,319.155685,319.155685,04:30:00
2025-07-21,28,0.4393,1200.0,6.443923333333373,718.2035833333333,0.0,0.0,9901.300822500001,9895.5012915,724.6475066666667,718.4121333333333,0.20855,0.0,0.0,318.3376496786667,318.3376496786667,04:40:00
2025-07-21,29,0.4422,1200.0,17.768871666666655,703.1296333333332,0.0,0.0,9917.292807000002,9901.300822500001,720.8985049999999,703.1296333333332,0.0,0.0,0.0,318.7813189109999,318.7813189109999,04:50:00
2025-07-21,30,0.4395,1200.0,92.02333333333331,631.7816666666666,0.0,0.0,10000.113807000002,9917.292807000002,723.805,631.7816666666666,0.0,0.0,0.0,318.11229749999995,318.11229749999995,05:00:00
2025-07-21,31,0.4333,1200.0,50.63234833333354,664.3033333333332,0.0,0.0,10045.682920500001,10000.113807000002,714.9356816666667,672.1802499999999,7.876916666666666,0.0,0.0,309.7816308661667,309.7816308661667,05:10:00
2025-07-21,32,0.4439,1200.0,4.796754999999848,686.8557833333333,0.0,0.0,10050.0,10045.682920500001,691.6525383333332,716.6410166666666,29.78523333333333,0.0,0.0,307.0245617661666,307.0245617661666,05:20:00
2025-07-21,33,0.4301,1200.0,833.3333333333334,635.4133333333333,0.0,1.8189894035458565e-12,10800.0,10050.0,1468.7466666666667,696.4716666666666,62.668749999999996,0.0,0.0,631.7079413333333,631.7079413333333,05:30:00
2025-07-21,34,0.3713,1200.0,0.0,1406.1082216666669,0.0,0.0,10800.0,10800.0,1406.1082216666669,670.26515,96.58483333333334,0.0,0.0,522.0879827048334,522.0879827048334,05:40:00
