Hour,Region,TaskType,Actual_GPU,Predicted_GPU,AbsoluteError
2389,RegionA,BatchInference,21,18.751262626262626,2.2487373737373737
2389,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2389,RegionB,RealTimeInference,0,8.332912457912458,8.332912457912458
2389,RegionB,BatchInference,13,18.412037037037038,5.412037037037038
2389,RegionB,AITraining,59,26.022306397306398,32.977693602693606
2389,RegionC,RealTimeInference,7,7.095538720538721,0.09553872053872059
2389,RegionC,BatchInference,6,14.478535353535353,8.478535353535353
2389,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2389,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2389,RegionD,BatchInference,0,18.835858585858585,18.835858585858585
2389,RegionD,AITraining,276,170.05765993265993,105.94234006734007
2389,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2389,RegionE,BatchInference,22,12.241582491582491,9.758417508417509
2389,RegionE,AITraining,128,121.13257575757575,6.867424242424249
2389,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2389,RegionF,BatchInference,7,11.337542087542088,4.337542087542088
2389,RegionF,AITraining,41,122.66287878787878,81.66287878787878
2390,RegionA,RealTimeInference,0,9.838804713804715,9.838804713804715
2390,RegionA,BatchInference,16,18.751262626262626,2.7512626262626263
2390,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2390,RegionB,RealTimeInference,8,8.332912457912458,0.3329124579124585
2390,RegionB,BatchInference,30,18.412037037037038,11.587962962962962
2390,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2390,RegionC,RealTimeInference,7,7.095538720538721,0.09553872053872059
2390,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2390,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2390,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2390,RegionD,BatchInference,54,18.835858585858585,35.16414141414141
2390,RegionD,AITraining,299,170.05765993265993,128.94234006734007
2390,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2390,RegionE,BatchInference,16,12.241582491582491,3.7584175084175087
2390,RegionE,AITraining,517,121.13257575757575,395.86742424242425
2390,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2390,RegionF,BatchInference,15,11.337542087542088,3.6624579124579117
2390,RegionF,AITraining,87,122.66287878787878,35.66287878787878
2391,RegionA,RealTimeInference,8,9.838804713804715,1.8388047138047146
2391,RegionA,BatchInference,34,18.751262626262626,15.248737373737374
2391,RegionA,AITraining,101,26.300925925925927,74.69907407407408
2391,RegionB,RealTimeInference,8,8.332912457912458,0.3329124579124585
2391,RegionB,BatchInference,29,18.412037037037038,10.587962962962962
2391,RegionB,AITraining,54,26.022306397306398,27.977693602693602
2391,RegionC,RealTimeInference,8,7.095538720538721,0.9044612794612794
2391,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2391,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2391,RegionD,RealTimeInference,2,0.8261784511784511,1.1738215488215489
2391,RegionD,BatchInference,0,18.835858585858585,18.835858585858585
2391,RegionD,AITraining,142,170.05765993265993,28.05765993265993
2391,RegionE,RealTimeInference,5,1.093013468013468,3.906986531986532
2391,RegionE,BatchInference,14,12.241582491582491,1.7584175084175087
2391,RegionE,AITraining,297,121.13257575757575,175.86742424242425
2391,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2391,RegionF,BatchInference,21,11.337542087542088,9.662457912457912
2391,RegionF,AITraining,58,122.66287878787878,64.66287878787878
2392,RegionA,RealTimeInference,6,9.838804713804715,3.8388047138047146
2392,RegionA,BatchInference,53,18.751262626262626,34.24873737373737
2392,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2392,RegionB,RealTimeInference,3,8.332912457912458,5.3329124579124585
2392,RegionB,BatchInference,8,18.412037037037038,10.412037037037038
2392,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2392,RegionC,RealTimeInference,2,7.095538720538721,5.095538720538721
2392,RegionC,BatchInference,14,14.478535353535353,0.4785353535353529
2392,RegionC,AITraining,18,24.610690235690235,6.610690235690235
2392,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2392,RegionD,BatchInference,29,18.835858585858585,10.164141414141415
2392,RegionD,AITraining,221,170.05765993265993,50.94234006734007
2392,RegionE,RealTimeInference,5,1.093013468013468,3.906986531986532
2392,RegionE,BatchInference,9,12.241582491582491,3.2415824915824913
2392,RegionE,AITraining,104,121.13257575757575,17.13257575757575
2392,RegionF,RealTimeInference,1,0.8337542087542088,0.1662457912457912
2392,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2392,RegionF,AITraining,250,122.66287878787878,127.33712121212122
2393,RegionA,RealTimeInference,19,9.838804713804715,9.161195286195285
2393,RegionA,BatchInference,15,18.751262626262626,3.7512626262626263
2393,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2393,RegionB,RealTimeInference,13,8.332912457912458,4.6670875420875415
2393,RegionB,BatchInference,0,18.412037037037038,18.412037037037038
2393,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2393,RegionC,RealTimeInference,4,7.095538720538721,3.0955387205387206
2393,RegionC,BatchInference,18,14.478535353535353,3.521464646464647
2393,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2393,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2393,RegionD,BatchInference,21,18.835858585858585,2.1641414141414153
2393,RegionD,AITraining,22,170.05765993265993,148.05765993265993
2393,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2393,RegionE,BatchInference,0,12.241582491582491,12.241582491582491
2393,RegionE,AITraining,0,121.13257575757575,121.13257575757575
2393,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2393,RegionF,BatchInference,23,11.337542087542088,11.662457912457912
2393,RegionF,AITraining,223,122.66287878787878,100.33712121212122
2394,RegionA,RealTimeInference,4,9.838804713804715,5.8388047138047146
2394,RegionA,BatchInference,16,18.751262626262626,2.7512626262626263
2394,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2394,RegionB,RealTimeInference,17,8.332912457912458,8.667087542087542
2394,RegionB,BatchInference,61,18.412037037037038,42.58796296296296
2394,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2394,RegionC,RealTimeInference,0,7.095538720538721,7.095538720538721
2394,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2394,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2394,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2394,RegionD,BatchInference,41,18.835858585858585,22.164141414141415
2394,RegionD,AITraining,214,170.05765993265993,43.94234006734007
2394,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2394,RegionE,BatchInference,17,12.241582491582491,4.758417508417509
2394,RegionE,AITraining,261,121.13257575757575,139.86742424242425
2394,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2394,RegionF,BatchInference,17,11.337542087542088,5.662457912457912
2394,RegionF,AITraining,339,122.66287878787878,216.33712121212122
2395,RegionA,RealTimeInference,12,9.838804713804715,2.1611952861952854
2395,RegionA,BatchInference,19,18.751262626262626,0.2487373737373737
2395,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2395,RegionB,RealTimeInference,4,8.332912457912458,4.3329124579124585
2395,RegionB,BatchInference,0,18.412037037037038,18.412037037037038
2395,RegionB,AITraining,110,26.022306397306398,83.9776936026936
2395,RegionC,RealTimeInference,5,7.095538720538721,2.0955387205387206
2395,RegionC,BatchInference,8,14.478535353535353,6.478535353535353
2395,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2395,RegionD,RealTimeInference,3,0.8261784511784511,2.173821548821549
2395,RegionD,BatchInference,42,18.835858585858585,23.164141414141415
2395,RegionD,AITraining,112,170.05765993265993,58.05765993265993
2395,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2395,RegionE,BatchInference,0,12.241582491582491,12.241582491582491
2395,RegionE,AITraining,269,121.13257575757575,147.86742424242425
2395,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2395,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2395,RegionF,AITraining,149,122.66287878787878,26.337121212121218
2396,RegionA,RealTimeInference,16,9.838804713804715,6.1611952861952854
2396,RegionA,BatchInference,6,18.751262626262626,12.751262626262626
2396,RegionA,AITraining,95,26.300925925925927,68.69907407407408
2396,RegionB,RealTimeInference,14,8.332912457912458,5.6670875420875415
2396,RegionB,BatchInference,17,18.412037037037038,1.412037037037038
2396,RegionB,AITraining,51,26.022306397306398,24.977693602693602
2396,RegionC,RealTimeInference,7,7.095538720538721,0.09553872053872059
2396,RegionC,BatchInference,25,14.478535353535353,10.521464646464647
2396,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2396,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2396,RegionD,BatchInference,59,18.835858585858585,40.16414141414141
2396,RegionD,AITraining,176,170.05765993265993,5.942340067340069
2396,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2396,RegionE,BatchInference,16,12.241582491582491,3.7584175084175087
2396,RegionE,AITraining,105,121.13257575757575,16.13257575757575
2396,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2396,RegionF,BatchInference,14,11.337542087542088,2.6624579124579117
2396,RegionF,AITraining,121,122.66287878787878,1.6628787878787818
2397,RegionA,RealTimeInference,0,9.838804713804715,9.838804713804715
2397,RegionA,BatchInference,46,18.751262626262626,27.248737373737374
2397,RegionA,AITraining,158,26.300925925925927,131.69907407407408
2397,RegionB,RealTimeInference,7,8.332912457912458,1.3329124579124585
2397,RegionB,BatchInference,19,18.412037037037038,0.5879629629629619
2397,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2397,RegionC,RealTimeInference,0,7.095538720538721,7.095538720538721
2397,RegionC,BatchInference,16,14.478535353535353,1.521464646464647
2397,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2397,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2397,RegionD,BatchInference,27,18.835858585858585,8.164141414141415
2397,RegionD,AITraining,37,170.05765993265993,133.05765993265993
2397,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2397,RegionE,BatchInference,39,12.241582491582491,26.75841750841751
2397,RegionE,AITraining,109,121.13257575757575,12.13257575757575
2397,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2397,RegionF,BatchInference,39,11.337542087542088,27.66245791245791
2397,RegionF,AITraining,76,122.66287878787878,46.66287878787878
2398,RegionA,RealTimeInference,15,9.838804713804715,5.1611952861952854
2398,RegionA,BatchInference,0,18.751262626262626,18.751262626262626
2398,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2398,RegionB,RealTimeInference,7,8.332912457912458,1.3329124579124585
2398,RegionB,BatchInference,21,18.412037037037038,2.587962962962962
2398,RegionB,AITraining,44,26.022306397306398,17.977693602693602
2398,RegionC,RealTimeInference,12,7.095538720538721,4.904461279461279
2398,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
