date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_plan_kwh,y_plan_kwh,q_plan_kwh,z_plan_kwh,soc_plan_end_kwh,soc_plan_start_kwh,grid_purchase_plan_kwh,pv_forecast_kwh,risk_adjusted_net_load_kwh,planned_cost_slot_yuan,source_time
2025-03-15,40,0.8601,5212.769321117816,0.0,0.0,0.0,334.53719499999994,2564.0908888888885,2935.798883333333,0.0,127.68186333333333,334.53719499999994,0.0,06:40:00
2025-03-15,41,0.8442,5212.769321117816,0.0,0.0,0.0,306.16501666666665,2223.9075370370365,2564.0908888888885,0.0,177.83899000000002,306.16501666666665,0.0,06:50:00
2025-03-15,42,0.8334,5212.769321117816,0.0,0.0,0.0,274.4391666666666,1918.9751296296292,2223.9075370370365,0.0,231.43374999999997,274.4391666666666,0.0,07:00:00
2025-03-15,43,0.8092,5212.769321117816,0.0,0.0,0.0,228.1967716666665,1665.4231611111109,1918.9751296296292,0.0,288.74378666666667,228.1967716666665,0.0,07:10:00
2025-03-15,44,0.7972,5212.769321117816,0.0,0.0,0.0,179.4262216666666,1466.0606925925924,1665.4231611111109,0.0,339.1808766666667,179.4262216666666,0.0,07:20:00
2025-03-15,45,0.7644,5212.769321117816,0.0,0.0,0.0,148.16875,1301.428748148148,1466.0606925925924,0.0,387.8112499999999,148.16875,0.0,07:30:00
2025-03-15,46,0.6899,5212.769321117816,0.0,0.0,0.0,71.5675383333334,1221.909261111111,1301.428748148148,0.0,449.52942666666667,71.5675383333334,0.0,07:40:00
2025-03-15,47,0.86,5212.769321117816,0.0,0.0,0.0,19.71833499999991,1200.0,1221.909261111111,0.0,506.0837733333333,19.71833499999991,0.0,07:50:00
2025-03-15,48,1.1617,5212.769321117816,0.0,0.0,18.645694444444416,0.0,1216.781125,1200.0,0.0,554.9375,-18.645694444444416,0.0,08:00:00
2025-03-15,49,1.1683,5212.769321117816,0.0,0.0,84.08159999999975,0.0,1292.4545649999998,1216.781125,0.0,610.8585366666666,-84.08159999999975,0.0,08:10:00
2025-03-15,50,1.0956,5212.769321117816,0.0,0.0,133.23559999999998,0.0,1412.3666049999997,1292.4545649999998,0.0,661.71993,-133.23559999999998,0.0,08:20:00
2025-03-15,51,1.0849,5212.769321117816,0.0,0.0,179.31999999999994,0.0,1573.7546049999996,1412.3666049999997,0.0,704.3237499999999,-179.31999999999994,0.0,08:30:00
2025-03-15,52,1.061,5212.769321117816,0.0,0.0,211.89952833333325,0.0,1764.4641804999997,1573.7546049999996,0.0,749.84287,-211.89952833333325,0.0,08:40:00
2025-03-15,53,1.043,5212.769321117816,0.0,0.0,201.6631950000001,0.0,1945.9610559999996,1764.4641804999997,0.0,802.9675933333333,-201.6631950000001,0.0,08:50:00
